echantillons;tick_sex;lab_process;season;month;date;analyse_type;monthly_temp
02T10;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T11;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T12;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T13;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T14;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T15;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T16;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T17;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T18;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T19;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T1;F;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T20;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T21;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T22;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T2;F;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T4;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T5;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T6;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T7;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T8;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
02T9;M;decoupe;winter;february;24/02/2022;temporel2022;7.552827381
03T10;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T11;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T12;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T13;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T14;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T15;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T16;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T17;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T18;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T19;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T1;F;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T20;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T21;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T22;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T23;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T24;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T25;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T26;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T27;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T28;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T29;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T2;F;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T30;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T31;M;decoupe;winter;march;11/03/2022;temporel2022;8.326478495
03T32;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
03T33;M;decoupe;winter;march;17/03/2022;temporel2022;8.326478495
