"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Cluster_1" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_2" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_3" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Francisellales" "Francisellaceae" "Francisella" "Multi-affiliation"
"Cluster_4" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_5" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Francisellales" "Francisellaceae" "Francisella" "Multi-affiliation"
"Cluster_6" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "M.-aff. ASV (Comamonadaceae family)" "Multi-affiliation"
"Cluster_8" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_9" "Bacteria" "Bacillota" "Bacilli" "Multi-affiliation" "Multi-affiliation" "M.-aff. ASV (Bacilli class)" "Multi-affiliation"
"Cluster_11" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Francisellales" "Francisellaceae" "Francisella" "Multi-affiliation"
"Cluster_12" "Bacteria" "Bacteroidota" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Porphyromonas" "unknown species"
"Cluster_13" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Enterobacterales" "Multi-affiliation" "M.-aff. ASV (Enterobacterales order)" "Multi-affiliation"
"Cluster_15" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium" "Multi-affiliation"
"Cluster_16" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_17" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Weeksellaceae" "Chryseobacterium" "Multi-affiliation"
"Cluster_18" "Bacteria" "Fusobacteriota" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" "Multi-affiliation"
"Cluster_20" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "M.-aff. ASV (Moraxellaceae family)" "Multi-affiliation"
"Cluster_21" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_23" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
"Cluster_24" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_25" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium" "Multi-affiliation"
"Cluster_26" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" "Rickettsia" "Multi-affiliation"
"Cluster_27" "Bacteria" "Actinomycetota" "Actinobacteria" "Corynebacteriales" "Corynebacteriaceae" "Corynebacterium" "unknown species"
"Cluster_29" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rickettsiales" "Midichloriaceae" "Midichloria" "unknown species"
