Cluster	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV_Genus
Cluster_1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_2	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_3	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
Cluster_4	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_5	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
Cluster_6	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	MaffASVComamonadaceaefamily	Multiaffiliation	_MaffASVComamonadaceaefamily
Cluster_8	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_9	Bacteria	Bacillota	Bacilli	Multi-affiliation	Multi-affiliation	MaffASVBacilliclass	Multiaffiliation	_MaffASVBacilliclass
Cluster_11	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
Cluster_12	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	unknown species	_Porphyromonas
Cluster_13	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Multi-affiliation	MaffASVEnterobacteralesorder	Multiaffiliation	_MaffASVEnterobacteralesorder
Cluster_15	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Multiaffiliation	_Corynebacterium
Cluster_16	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_17	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Multiaffiliation	_Chryseobacterium
Cluster_18	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Multiaffiliation	_Fusobacterium
Cluster_20	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	MaffASVMoraxellaceaefamily	Multiaffiliation	_MaffASVMoraxellaceaefamily
Cluster_21	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_23	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_24	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_25	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Multiaffiliation	_Corynebacterium
Cluster_26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_27	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	unknown species	_Corynebacterium
Cluster_29	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_31	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Multiaffiliation	_Acinetobacter
Cluster_35	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_36	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Multiaffiliation	_Comamonas
Cluster_37	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Mannheimia	Multiaffiliation	_Mannheimia
Cluster_40	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_43	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_47	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Multiaffiliation	_Corynebacterium
Cluster_48	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	MaffASVComamonadaceaefamily	Multiaffiliation	_MaffASVComamonadaceaefamily
Cluster_49	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_50	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Multiaffiliation	_Halomonas
Cluster_51	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_52	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas koreensis	_Comamonas
Cluster_53	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	MaffASVComamonadaceaefamily	Multiaffiliation	_MaffASVComamonadaceaefamily
Cluster_54	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Multiaffiliation	_Pseudomonas
Cluster_55	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
Cluster_58	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Nocardiaceae	Williamsia	Multiaffiliation	_Williamsia
Cluster_60	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Caviibacter	Multiaffiliation	_Caviibacter
Cluster_61	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Nocardiaceae	Williamsia	Multiaffiliation	_Williamsia
Cluster_62	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Multiaffiliation	_Fusobacterium
Cluster_66	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_67	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Multiaffiliation	_Halomonas
Cluster_76	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia secondary endosymbiont of Archarius pictus	_Rickettsia
Cluster_80	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Multi-affiliation	MaffASVEnterobacteralesorder	Multiaffiliation	_MaffASVEnterobacteralesorder
Cluster_82	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Peptoniphilus	Peptoniphilus indolicus	_Peptoniphilus
Cluster_83	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Multiaffiliation	_Xanthomonas
Cluster_84	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	MaffASVComamonadaceaefamily	Multiaffiliation	_MaffASVComamonadaceaefamily
Cluster_86	Bacteria	Bacillota	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Helcococcus	Helcococcus ovis	_Helcococcus
Cluster_87	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
Cluster_88	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Multiaffiliation	_Corynebacterium
Cluster_89	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Multiaffiliation	_Staphylococcus
Cluster_90	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Multiaffiliation	_Mycobacterium
Cluster_92	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Multiaffiliation	_Trueperella
Cluster_94	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Multiaffiliation	_Pseudomonas
Cluster_95	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Multiaffiliation	_Mycobacterium
Cluster_96	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Multiaffiliation	_Fusobacterium
Cluster_97	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Multiaffiliation	_Pseudomonas
Cluster_101	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus dysgalactiae	_Streptococcus
Cluster_102	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Midichloria	unknown species	_Midichloria
Cluster_103	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp	_Corynebacterium
Cluster_105	Bacteria	Actinomycetota	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Multiaffiliation	_Rhodococcus
Cluster_107	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Multiaffiliation	_Staphylococcus
Cluster_108	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Caenimonas	metagenome	_Caenimonas
Cluster_109	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	unknown species	_Porphyromonas
Cluster_114	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Multiaffiliation	_Nocardioides
Cluster_121	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Multiaffiliation	_Rickettsia
Cluster_122	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Multiaffiliation	_Pseudomonas
Cluster_123	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisella	Multiaffiliation	_Francisella
